#ダンジョンメイン,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,
#ダンジョンメイン画面でのみ表示される部品,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
#メインメニュー,,,,,,,,,,,,,,,
#JSGAMECLGCommonMenuElement,汎用メニュー選択肢、画像の上側が未選択、下が選択中,UID,描画順序,表示/非表示,画像パス,画像サイズX,画像サイズY,表示座標X,表示座標Y,表示文言,文言のマージンX座標,文言のマージンY座標,,,
JSGAMECLGCommonMenuElement,先へ進む,next,1000,TRUE,./data/img/common/menu_elem3_long.png,160,25,25,250,先へ進む,20,5,testFont,textFront,textShadow
JSGAMECLGCommonMenuElement,探索,hunt,1000,TRUE,./data/img/common/menu_elem3_long.png,160,25,25,275,探索,20,5,testFont,textFront,textShadow
JSGAMECLGCommonMenuElement,アイテム,item,1000,TRUE,./data/img/common/menu_elem3_long.png,160,25,25,300,アイテム,20,5,testFont,textFront,textShadow
JSGAMECLGCommonMenuElement,ステータス,status,1000,TRUE,./data/img/common/menu_elem3_long.png,160,25,25,325,ステータス,20,5,testFont,textFront,textShadow
JSGAMECLGCommonMenuElement,撤退,result,1000,TRUE,./data/img/common/menu_elem3_long.png,160,25,25,350,撤退,20,5,testFont,textFront,textShadow
,,,,,,,,,,,,,,,
#てすと,,,描画順序,表示/非表示,画像パス,画像サイズX,画像サイズY,画像横個数,画像縦個数,画像総数,フレームレート,ループ有無,終了時自滅,表示座標X,表示座標Y
#JSGAMECLGCommonImage,テスト画像,test-Image-Hunt,3000,FALSE,./data/img/dung/anime/hunt.png,960,768,192,128,,,,,,
JSGAMECLGCommonAnimation,テスト画像,test-Image-Hunt,3000,FALSE,./data/img/dung/anime/hunt.png,192,128,5,6,28,3,TRUE,FALSE,77,148
#JSGAMECLGCommonImage,テスト画像,test-Image-GetItem,3000,FALSE,./data/img/test/item.png,190,90,50,160,,,,,,
JSGAMECLGCommonAnimation,テスト画像,test-Image-GetItem,3000,FALSE,./data/img/test/item_0_14x1.png,96,120,13,1,13,1,FALSE,FALSE,90,165
JSGAMECLGCommonImage,テスト画像,test-Image-Encount,3000,FALSE,./data/img/test/エンカウント.png,190,90,50,160,,,,,,
JSGAMECLGCommonImage,テスト画像,test-Image-RandomEv,3000,FALSE,./data/img/test/ランダムイベント.png,190,90,50,160,,,,,,
JSGAMECLGCommonAnimation,テスト画像,test-Image-RandomEv,3000,FALSE,./data/img/test/ランダムイベント.png,190,90,1,1,1,5,FALSE,FALSE,90,165
JSGAMECLGCommonImage,テスト画像,test-Image-Next,3000,FALSE,./data/img/test/移動中.png,190,90,50,160,,,,,,
,,,,,,,,,,,,,,,
#アニメーション背景ウィンドウ,,,,,,,,,,,,,,,
JSGAMECLGCommonWindow,アニメ背景,Effect_Back_Window,2000,TRUE,./data/img/common/window15x15.png,15,15,75,145,165,105,,,,
