#装備ステータス欄,,,,,,,,,,,,
#背景,,,,,,,,,,,,
JSGAMECLGCommonWindow,装備ステータス欄背景,SYS-Keine-Wepon_Window,1,TRUE,./data/img/common/window9x9.png,9,9,100400,300,220,32,
#ラベル部品,,,,,,,,,,,,
JSGAMECLGCommonText,HPラベル,SYS-Keine-Wepon_HP-Label,1,TRUE,23,193,HP :+,middle,textFront,textShadow,,
JSGAMECLGCommonText,MPラベル,SYS-Keine-Wepon_MP-Label,1,TRUE,23,212,MP :+,middle,textFront,textShadow,,
JSGAMECLGCommonText,CAPラベル,SYS-Keine-Wepon_CAP-Label,1,TRUE,23,231,CAP:+,middle,textFront,textShadow,,
JSGAMECLGCommonText,ATKラベル,SYS-Keine-Wepon_ATK-Label,1,TRUE,183,193,ATK:+,middle,textFront,textShadow,,
JSGAMECLGCommonText,DEFラベル,SYS-Keine-Wepon_DEF-Label,1,TRUE,183,212,DEF:+,middle,textFront,textShadow,,
JSGAMECLGCommonText,SPDラベル,SYS-Keine-Wepon_SPD-Label,1,TRUE,183,231,SPD:+,middle,textFront,textShadow,,
#値部品,,,,,,,,,,,,
JSGAMECLGCommonText,HP,SYS-Keine-Wepon_HP,8300,TRUE,123,193,サン,middle,textFront,textShadow,,100
JSGAMECLGCommonText,MP,SYS-Keine-Wepon_MP,8300,TRUE,123,212,サン,middle,textFront,textShadow,,100
JSGAMECLGCommonText,CAP,SYS-Keine-Wepon_CAP,8300,TRUE,123,231,サン,middle,textFront,textShadow,,100
JSGAMECLGCommonText,ATK,SYS-Keine-Wepon_ATK,8300,TRUE,253,193,サン,middle,textFront,textShadow,,70
JSGAMECLGCommonText,DEF,SYS-Keine-Wepon_DEF,8300,TRUE,253,212,サン,middle,textFront,textShadow,,70
JSGAMECLGCommonText,SPD,SYS-Keine-Wepon_SPD,8300,TRUE,253,231,サン,middle,textFront,textShadow,,70
