#あきゅうおうきゅう,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
#JSGAMECLGCommonTextWindow,テキストウィンドウ,UID,描画順序,表示/非表示,画像パス,画像サイズX,画像サイズY,表示座標X,表示座標Y,表示サイズX,表示サイズY,テキスト桁数,テキスト行数,表示文言セット,,,
#JSGAMECLGCommonTextWindow,コメント,VillageMenuTile,5,TRUE,./data/img/village/window9x9.png,9,9,0,0,63,27,5,1,王宮,testFont,textFront,textShadow
#JSGAMECLGCommonTextWindow,セリフ,AkyuMenuText,5,TRUE,./data/img/common/window20x20.png,20,20,10,10,450,50,25,3,いらっしゃい！\n今日も安いよ！\n幻の３行目,testFont,textFront,textShadow
,,,,,,,,,,,,,,,,,
#JSGAMECLGCommonImage,単純な画像表示部品,UID,描画順序,表示/非表示,画像パス,画像サイズX,画像サイズY,表示座標X,表示座標Y,,,,,,,,
#JSGAMECLGCommonImage,顔グラ,back-face,6,TRUE,./data/img/common/face_frame.png,120,120,510,10,,,,,,,,
,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,
#セーブ1個目,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,
#JSGAMECLGCommonMenuElement,セーブ選択肢,SelectMenu1,10,TRUE,./data/img/village/menu_elem_2.png,83,32,50,110, ,25,9,testFont,textFront,textShadow,,
#JSGAMECLGCommonWindow,セーブ選択肢背景,SelectMenuWindow1,6,TRUE,./data/img/common/window15x15.png,15,15,180,110,250,80,,,,,,
#JSGAMECLGCommonText,セーブ欄No,Select-No1,10,TRUE,180,110,No.1,middle,textFront,textShadow,,,,,,,
#JSGAMECLGCommonText,ダンジョンクリア数,Select-Clear1-Label,10,TRUE,180,128,ダンジョンクリア数：,middle,textFront,textShadow,,,,,,,
#JSGAMECLGCommonText,ダンジョンクリア数,Select-Clear1,10,TRUE,340,128,サンプルテキスト,middle,textFront,textShadow,,,,,,,
#JSGAMECLGCommonText,セーブ日時,Select-Day1,10,TRUE,180,146,サンプルテキスト,middle,textFront,textShadow,,,,,,,
#,メンバ編成アイコン,Icon1,,TRUE,,,,,,,,,,,,,
#セーブ2個目,,,,,,,,,,,,,,,,,
#JSGAMECLGCommonMenuElement,セーブ選択肢,SelectMenu2,10,TRUE,./data/img/village/menu_elem_2.png,83,32,50,220, ,25,9,testFont,textFront,textShadow,,
#JSGAMECLGCommonWindow,セーブ選択肢背景,SelectMenuWindow2,6,TRUE,./data/img/common/window15x15.png,15,15,180,220,250,80,,,,,,
#JSGAMECLGCommonText,セーブ欄No,Select-No2,10,TRUE,180,220,No.2,middle,textFront,textShadow,,,,,,,
#JSGAMECLGCommonText,ダンジョンクリア数,Select-Clear2-Label,10,TRUE,180,238,ダンジョンクリア数：,middle,textFront,textShadow,,,,,,,
#JSGAMECLGCommonText,ダンジョンクリア数,Select-Clear2,10,TRUE,340,238,サンプルテキスト,middle,textFront,textShadow,,,,,,,
#JSGAMECLGCommonText,セーブ日時,Select-Day2,10,TRUE,180,256,サンプルテキスト,middle,textFront,textShadow,,,,,,,
#,メンバ編成アイコン,Icon2,,TRUE,,,,,,,,,,,,,
#セーブ3個目,,,,,,,,,,,,,,,,,
#JSGAMECLGCommonMenuElement,セーブ選択肢,SelectMenu3,10,TRUE,./data/img/village/menu_elem_2.png,83,32,50,330, ,25,9,testFont,textFront,textShadow,,
#JSGAMECLGCommonWindow,セーブ選択肢背景,SelectMenuWindow3,6,TRUE,./data/img/common/window15x15.png,15,15,180,330,250,80,,,,,,
#JSGAMECLGCommonText,セーブ欄No,Select-No3,10,TRUE,180,330,No.3,middle,textFront,textShadow,,,,,,,
#JSGAMECLGCommonText,ダンジョンクリア数,Select-Clear3-Label,10,TRUE,180,348,ダンジョンクリア数：,middle,textFront,textShadow,,,,,,,
#JSGAMECLGCommonText,ダンジョンクリア数,Select-Clear3,10,TRUE,340,348,サンプルテキスト,middle,textFront,textShadow,,,,,,,
#JSGAMECLGCommonText,セーブ日時,Select-Day3,10,TRUE,180,366,サンプルテキスト,middle,textFront,textShadow,,,,,,,
#,メンバ編成アイコン,Icon3,,TRUE,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
#---------------------------------,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
#共通定義（タイトル、テキスト、顔グラ、村グラ）,,,,,,,,,,,,,,,,,
JSGAMECLGCommonTextWindow,セリフ,AkyuMenuText,8100,TRUE,./data/img/common/window20x20.png,20,20,10,10,450,50,25,3,いらっしゃい！\n今日も安いよ！\n幻の３行目,testFont,textFront,textShadow
JSGAMECLGCommonImage,村画像,back-village,99,TRUE,./data/img/village/siro.png,640,480,0,0,,,,,,,,
