#エンカウントテーブル,,,,,
#,,,,,
#テーブルパス,フロアID,エンカウント対象グループID,発生率,※発生率は合計100になること,
sampleDungion,en1,GL1,50,,
sampleDungion,en1,GL2,50,,
sampleDungion,en2,GL1,40,,
sampleDungion,en2,GL2,30,,
sampleDungion,en2,GL3,30,,
sampleDungion,en3,GL1,50,,
sampleDungion,en3,GL3,25,,
sampleDungion,en3,GL4,25,,
sampleDungion,en4,GL4,20,,
sampleDungion,en4,GL5,40,,
sampleDungion,en4,GL6,40,,
sampleDungion,en5,GL1,90,,
sampleDungion,en5,GL3,5,,
sampleDungion,en5,GL6,5,,
sampleDungion,en6,GL2,90,,
sampleDungion,en6,GL4,5,,
sampleDungion,en6,GL6,4,,
sampleDungion,en6,GL8,1,,
sampleDungion,en7,GL7,33,,
sampleDungion,en7,GL8,33,,
sampleDungion,en7,GL9,34,,
