#ランダムイベント演出定義,,,,,,,,,,
#,目次,,,,,,,,,
#,,,,,,,,,,
#,,,,,,,,,,
#イベントID,コメント,イベントアニメパス,1コマの横幅,1コマの高さ,横個数,縦個数,コマ数,切り替え速度,画面に表示するテキスト,
Otoshiana,テストイベント１,./data/img/test/ana.png,96,80,1,1,1,3,小さな落とし穴だ！,
Otoshiana2,テストイベント１,./data/img/test/ana.png,96,80,1,1,1,3,そこそこの落とし穴だ！,
Otoshiana3,テストイベント１,./data/img/test/ana.png,96,80,1,1,1,3,でかい落とし穴だ！,
Bakudan,テストイベント２,./data/img/test/01bomb_69x66.png,69,66,3,1,3,15,小さな爆弾が！,
Bakudan2,テストイベント２,./data/img/test/01bomb_69x66.png,69,66,3,1,3,15,爆弾が！,
Bakudan3,テストイベント２,./data/img/test/01bomb_69x66.png,69,66,3,1,3,15,巨大な爆弾が！？,
Gus,テストイベント３,./data/img/test/gus_anim.png,96,126,10,3,30,1,ガスだ！,
Mahou,テストイベント４,./data/img/test/maho_0_10x3.png,96,96,10,3,30,1,トラップ魔法だ！,
Net,テストイベント５,./data/img/test/net_anim_48x48.png,96,96,5,6,30,1,ネットだ！\n抜け出すのに時間がかかってしまった・・・・,
ExpUp,テストイベント６,./data/img/test/orb.png,96,80,1,1,1,3,経験値を取得した。,
ExpUp2,テストイベント６,./data/img/test/orb.png,96,80,1,1,1,3,経験値をすごく取得した。,
ExpUp3,テストイベント６,./data/img/test/orb.png,96,80,1,1,1,3,経験値をものすごく取得した。,
Ya,テストイベント７,./data/img/test/ya_anim96x96.png,96,96,4,3,12,1,どこからともなく小さな矢が！,
Ya2,テストイベント７,./data/img/test/ya_anim96x96.png,96,96,4,3,12,1,どこからともなく矢が！,
Ya3,テストイベント７,./data/img/test/ya_anim96x96.png,96,96,4,3,12,1,どこからともなく鋭い矢が！,
