#慧音の寺小屋,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,
#共通定義（タイトル、テキスト、顔グラ、村グラ）,,,,,,,,,,,,,,,
JSGAMECLGCommonTextWindow,タイトル,ReimuMenuTitle,5,TRUE,./data/img/village/window9x9.png,9,9,5,5,166,32,5,1,ハクレイ=テンプル,testFont
JSGAMECLGCommonTextWindow,セリフ,ReimuMenuText,5,TRUE,./data/img/village/window9x9.png,9,9,-3,57,640,43,25,2,ナ、ナムアミダブツ！　なんたるマッポー的キャラクター強化！,testFont
JSGAMECLGCommonImage,顔グラ,back-face,6,TRUE,./data/img/village/face_frame.png,104,104,520,23,,,,,,
JSGAMECLGCommonImage,村画像,back-village,3,TRUE,./data/img/village/back_mini.png,402,238,274,127,,,,,,
JSGAMECLGCommonImage,上黒縁,back-curtain-top,1,TRUE,./data/img/village/frame_t.png,640,92,0,0,,,,,,
JSGAMECLGCommonImage,下黒縁,back-curtain-under,1,TRUE,./data/img/village/frame_u.png,640,175,0,305,,,,,,
,,,,,,,,,,,,,,,
#JSGAMECLGCommonImage,単純な画像表示部品,UID,描画順序,表示/非表示,画像パス,画像サイズX,画像サイズY,表示座標X,表示座標Y,,,,,,
JSGAMECLGCommonImage,PTがいる床,back-pt-yuka,4,TRUE,./data/img/village/yuka.png,288,155,22,216,,,,,,
,,,,,,,,,,,,,,,
#テキストウィンドウ,,,,,,,,,,,,,,,
JSGAMECLGCommonTextWindow,コメント,ReimuText,5,TRUE,./data/img/village/window9x9.png,9,9,0,430,900,27,100,1,霊夢,testFont
,,,,,,,,,,,,,,,
#メンバースロット,,,,,,,,,,,,,,,
#JSGAMECLGCommonMenuElement,汎用メニュー選択肢、画像の上側が未選択、下が選択中,UID,描画順序,表示/非表示,画像パス,画像サイズX,画像サイズY,表示座標X,表示座標Y,表示文言,文言のマージンX座標,文言のマージンY座標,testFont,,
JSGAMECLGCommonMenuElement,上,keine-slot1,2001,TRUE,./data/img/village/yajirusi.png,48,30,123,135, ,0,0,testFont,,
JSGAMECLGCommonMenuElement,右,keine-slot2,2001,TRUE,./data/img/village/yajirusi.png,48,30,214,158, ,0,0,testFont,,
JSGAMECLGCommonMenuElement,下,keine-slot3,2001,TRUE,./data/img/village/yajirusi.png,48,30,166,203, ,0,0,testFont,,
JSGAMECLGCommonMenuElement,左,keine-slot4,2001,TRUE,./data/img/village/yajirusi.png,48,30,68,179, ,0,0,testFont,,
#メンバー画像,,,,,,,,,,,,,,,
#JSGAMECLGCommonAnimation,単純なアニメ,UID,描画順序,表示/非表示,画像パス,画像サイズX,画像サイズY,画像横個数,画像縦個数,フレームレート,ループ有無,表示座標X,表示座標Y,,
JSGAMECLGCommonAnimation,上,keine-slot-chara1,2000,TRUE,./data/img/character/orin.png,100,100,1,1,1,TRUE,97,165,,
JSGAMECLGCommonAnimation,右,keine-slot-chara2,2000,TRUE,./data/img/character/orin.png,100,100,1,1,1,TRUE,188,188,,
JSGAMECLGCommonAnimation,下,keine-slot-chara3,2000,TRUE,./data/img/character/orin.png,100,100,1,1,1,TRUE,140,233,,
JSGAMECLGCommonAnimation,左,keine-slot-chara4,2000,TRUE,./data/img/character/orin.png,100,100,1,1,1,TRUE,42,209,,
,,,,,,,,,,,,,,,
#パーティ情報,,,,,,,,,,,,,,,
#JSGAMECLGCommonTextWindow,テキストウィンドウ,UID,描画順序,表示/非表示,画像パス,画像サイズX,画像サイズY,表示座標X,表示座標Y,表示サイズX,表示サイズY,テキスト桁数,テキスト行数,表示文言セット,
JSGAMECLGCommonTextWindow,選択中メンバ名,keine-current-name,5,TRUE,./data/img/village/window9x9.png,9,9,517,310,94,18,5,1,名前,testFont
JSGAMECLGCommonTextWindow,選択中メンバステータス,keine-current-status,5,TRUE,./data/img/village/window9x9.png,9,9,348,353,273,61,10,5,ステータス,testFont
